City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
1,Bambous Virieux,MU,73.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
2,Hithadhoo,MV,81.72,broken clouds,-0.6,73.0833,Scoop Guest House
5,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Mikuni,JP,75.11,clear sky,36.2171,136.1519,Seifuso
7,Rikitea,PF,73.69,clear sky,-23.1203,-134.9692,People ThankYou
8,East London,ZA,63.54,few clouds,-33.0153,27.9116,Tu Casa
9,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
10,Atuona,PF,76.95,clear sky,-9.8,-139.0333,Villa Enata
13,Samarai,PG,83.32,scattered clouds,-10.6167,150.6667,Nuli Sapi
14,Vila Velha,BR,71.55,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
18,Fuerte Olimpo,PY,70.16,clear sky,-21.0415,-57.8738,Hospedaje DAMI
19,Russell,US,69.4,clear sky,32.3502,-85.1999,Macs
20,Los Alamos,US,60.66,clear sky,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
24,Mackay,AU,81.68,scattered clouds,-21.15,149.2,International Lodge Motel
25,Carnarvon,AU,74.26,clear sky,-24.8667,113.6333,Hospitality Carnarvon
26,Nara,JP,86.97,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
27,New Norfolk,AU,62.71,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
29,Cabo San Lucas,MX,83.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
30,Camapua,BR,72.05,few clouds,-19.5314,-54.0439,Comercial Estrela
31,Bud,US,61.68,clear sky,39.447,-86.1758,Ted McQuinn Trust
35,Saint-Pierre,RE,69.3,broken clouds,-21.3393,55.4781,Alize Plage
36,Dali,CN,72.21,broken clouds,25.7,100.1833,Dali Travelling With Hostel
37,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
38,Butaritari,KI,82.22,few clouds,3.0707,172.7902,Isles Sunset Lodge
39,Sao Filipe,CV,77.79,scattered clouds,14.8961,-24.4956,Hotel Xaguate
40,Tecoanapa,MX,76.23,broken clouds,16.5167,-98.75,Hotel Manglares
41,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
42,Mbandaka,CD,69.53,overcast clouds,0.0487,18.2603,Guest House Epervier
48,Koumac,NC,76.5,overcast clouds,-20.5667,164.2833,Le Monitel
49,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
50,Ankazoabo,MG,72.68,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
52,Puerto Ayora,EC,63.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Bubaque,GW,80.15,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
57,Lahij,YE,83.64,broken clouds,13.1667,44.5833, 
59,Ponta Do Sol,PT,68.72,few clouds,32.6667,-17.1,Hotel do Campo
60,Hobart,AU,63.05,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
61,Yoichi,JP,66.94,clear sky,43.2039,140.7703,Marumatta Farm 21
62,Fort Nelson,CA,60.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
64,Solano,US,66.38,clear sky,38.2333,-121.9511,Westwind Inn
72,Ciudad Guayana,VE,74.05,broken clouds,8.3533,-62.6528,Hotel Las Americas
74,Seoul,KR,72.97,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
75,Sao Joao Da Barra,BR,68.85,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
77,Nagua,DO,76.77,scattered clouds,19.3832,-69.8474,Hotel Cambri
78,Victoria,HK,89.65,few clouds,22.2855,114.1577,Mini Central
80,Hilo,US,86.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
83,Jaisalmer,IN,83.84,clear sky,26.9147,70.9181,Hotel Fifu
84,Port Lincoln,AU,66.76,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
85,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
87,Wajir,KE,73.36,clear sky,1.7471,40.0573,Mahatallah Hotel
88,Busselton,AU,61.86,overcast clouds,-33.65,115.3333,Observatory Guest House
89,Saint Anthony,US,60.58,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
93,Port Alfred,ZA,60.84,broken clouds,-33.5906,26.891,The Halyards Hotel
94,Balaipungut,ID,77.04,overcast clouds,1.05,101.2833,Darmo wira
95,Camabatela,AO,63.21,light rain,-8.1881,15.375,Comércio e Prestação de Serviços
96,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
97,Marawi,PH,83.07,overcast clouds,7.9986,124.2928,Derogongan Residence
100,Jumla,NP,66.29,broken clouds,29.2747,82.1838,Royal Garden Hotel
102,Dicabisagan,PH,81.23,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
103,Clifton,US,60.84,overcast clouds,40.8584,-74.1638,Quality Urban Housing
104,Mount Gambier,AU,65.48,overcast clouds,-37.8333,140.7667,The Commodore
105,Gilbues,BR,77.52,clear sky,-9.8317,-45.3439,Hotel Camapuã
107,Xam Nua,LA,69.44,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
109,Bilma,NE,86.77,clear sky,18.6853,12.9164,Expeditions Ténére voyages
113,Dongsheng,CN,69.35,scattered clouds,39.8161,109.9776,Crowne Plaza Ordos
117,Chaihe,CN,72.73,broken clouds,44.7667,129.7,Holiday Inn Suifenhe
119,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
120,Kirando,TZ,75.02,scattered clouds,-7.4167,30.6,"Lake Shore Lodge, Tanganyika"
122,Sabha,LY,82.18,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
123,Luklukan,PH,81.05,moderate rain,14.3254,122.7124,Nipa Nipa Beach
124,Pacific Grove,US,62.02,overcast clouds,36.6177,-121.9166,Lovers Point Inn
125,Marsh Harbour,BS,81.34,clear sky,26.5412,-77.0636,Abaco Beach Resort
126,Nacogdoches,US,62.24,clear sky,31.6002,-94.6335,The Fredonia Hotel & Convention Center
129,Vaitape,PF,78.49,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
135,Alta Floresta,BR,76.98,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
139,San Jose,US,64.87,few clouds,37.3394,-121.895,The Westin San Jose
140,Candelaria,PH,85.39,overcast clouds,13.9311,121.4233,Casa de Provincia
144,Vao,NC,70.72,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
146,Surt,LY,78.26,broken clouds,31.2089,16.5887,فندق المدينة
149,Ribeira Grande,PT,71.87,moderate rain,38.5167,-28.7,Quinta da Meia Eira
150,Tucurui,BR,75.63,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
151,Santiago,CL,65.25,clear sky,-33.4569,-70.6483,Hotel Panamericano
155,Muscat,OM,87.82,clear sky,23.6139,58.5922,Mutrah Hotel
159,La Brea,HN,73.94,overcast clouds,15.8,-85.9667,Hotel reynita
160,Kashan,IR,70.79,clear sky,33.9831,51.4364,Manouchehri Traditional House And Hotel
161,Tibati,CM,65.41,moderate rain,6.4667,12.6333,Tibati Hotel
162,Mao,ES,63.16,clear sky,39.8885,4.2658,ARTIEM Capri
163,Biak,ID,85.77,overcast clouds,-0.9131,122.8766,Penginapan Kim
166,Port Macquarie,AU,63.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
167,Saint George,US,80.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
170,Berbera,SO,88.5,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
171,Kieta,PG,83.71,light rain,-6.2167,155.6333,Uruna Bay Retreat
173,Tuni,IN,80.64,overcast clouds,17.35,82.55,Sai Krishna Lodge
174,Viesca,MX,72.48,overcast clouds,25.35,-102.8,LA VIEZCA (Parque Magico)
179,Airai,TL,72.61,broken clouds,-8.9266,125.4092, 
182,Alexander City,US,64.18,clear sky,32.944,-85.9539,Hampton Inn Alexander City
184,Mahebourg,MU,73.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
187,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
188,Kushima,JP,81.09,few clouds,31.4583,131.2333,Hanaoka
189,Shiloh,US,61.09,clear sky,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O'Fallon IL
190,Richards Bay,ZA,69.01,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
191,Shimoda,JP,79.16,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
192,Maceio,BR,71.04,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
194,Axim,GH,74.89,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
195,Meghri,AM,64.67,clear sky,38.9029,46.2446,Haer B&B
196,Sile,TR,83.07,overcast clouds,41.1754,29.6133,Phellos Suites
197,Belmonte,BR,73.27,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
198,Burns Lake,CA,65.62,scattered clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
199,Ruwi,OM,87.49,clear sky,23.5996,58.5507,Al Falaj Hotel
201,Koppies,ZA,62.1,few clouds,-27.2418,27.5742,Friesland Hotel
204,Ca Mau,VN,78.98,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
205,Sambava,MG,70.59,broken clouds,-14.2667,50.1667,Melrose
206,Yeppoon,AU,76.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
207,Coloncito,VE,75.79,broken clouds,8.3256,-72.0895,Hotel Comunidad Francesa
208,Ahuimanu,US,83.91,light rain,21.4447,-157.8378,Paradise Bay Resort
211,Wattegama,LK,89.15,overcast clouds,6.7989,81.4808, 
212,Yei,SS,65.62,broken clouds,4.095,30.6779,Twins Hotel Yei
213,Baiyin,CN,62.04,broken clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
214,Bukene,TZ,67.42,broken clouds,-4.2333,32.8833,New Millenium Lodge
215,Saint-Philippe,RE,69.22,broken clouds,-21.3585,55.7679,Le four à pain
217,Moron,AR,62.35,broken clouds,-34.6534,-58.6198,Hotel Morón
218,Cienfuegos,CU,73.54,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
